id	title	description	link	image_link	additional_image_link	availability	condition	price	brand	identifier_exists	mpn	product_type	shipping_weight	shipping	return_policy_label
gorilla-pulley-pet	Gorilla Pulley Pet	This is the physical kit. Digital plans are available as a separate listing. Build your own little climbing Gorilla with this kit. Hang him in your window and pull the string to make him climb hand over hand up the string.	https://www.contraptioncart.com/shop/gorilla-pulley-pet	https://i.etsystatic.com/25031074/r/il/7fe8fb/4872386232/il_fullxfull.4872386232_hgbf.jpg	https://i.etsystatic.com/25031074/r/il/315f3c/4920652869/il_fullxfull.4920652869_b1un.jpg,https://i.etsystatic.com/25031074/r/il/3ad9a6/4920653583/il_fullxfull.4920653583_301u.jpg,https://i.etsystatic.com/25031074/r/il/803b12/4872387924/il_fullxfull.4872387924_cdnh.jpg,https://i.etsystatic.com/25031074/r/il/7bec8d/2530762026/il_fullxfull.2530762026_lozd.jpg,https://i.etsystatic.com/25031074/r/il/2f5a8a/4920654223/il_fullxfull.4920654223_g9kp.jpg,https://i.etsystatic.com/25031074/r/il/2c8f01/4872388644/il_fullxfull.4872388644_l7pn.jpg	in_stock	new	32.00 AUD	Contraption Cart	no	Gorilla-Pulley-Pet	automata	0.25 kg		default
hummingbird-and-flower	Hummingbird and Flower	This is the physical kit. Please see my other listings for the digital plans for this design. Turn the crank handle to watch the hummingbird flap its wings and lower its tail as it dips in and out of the flower. This design uses a unique mechanism in the wings to give the hummingbird its elegant figure of eight flapping motion. You will receive all of the parts plus detailed pdf assembly instructions.	https://www.contraptioncart.com/shop/hummingbird-and-flower	https://i.etsystatic.com/25031074/r/il/b40a27/7905899944/il_fullxfull.7905899944_exsm.jpg	https://i.etsystatic.com/25031074/r/il/788ba3/7905899958/il_fullxfull.7905899958_rfc7.jpg,https://i.etsystatic.com/25031074/r/il/548367/7953854471/il_fullxfull.7953854471_kuj9.jpg,https://i.etsystatic.com/25031074/r/il/70bbef/7905899970/il_fullxfull.7905899970_1dcm.jpg,https://i.etsystatic.com/25031074/r/il/3df0d8/7953854465/il_fullxfull.7953854465_st1e.jpg,https://i.etsystatic.com/25031074/r/il/524214/7953854475/il_fullxfull.7953854475_4lf8.jpg,https://i.etsystatic.com/25031074/r/il/330014/7953854485/il_fullxfull.7953854485_kk1f.jpg	in_stock	new	50.00 AUD	Contraption Cart	no	Hummingbird-and-Flower	automata	0.4 kg		default
hummingbird-pole-pet	Hummingbird Pole Pet	Your own little wooden flapping hummingbird. Pull the ball to watch him flap his wings and ascend the pole. He comes in kit form for you to slot together in about an hour, with no glue required. Digital files are also available as a separate listing if you want to laser cut or scroll saw the parts yourself. Made with quality laser cut Birch plywood. This mechanism uses two pulleys of different diameter. This means when tension is placed on the string, there will be more torque in one direction causing the spool to wind it's way up the pole as if by magic. Great as an educational toy or an elegant desktop sculpture.	https://www.contraptioncart.com/shop/hummingbird-pole-pet	https://i.etsystatic.com/25031074/r/il/2f7cf2/3979887369/il_fullxfull.3979887369_p0lp.jpg	https://i.etsystatic.com/25031074/r/il/00b375/3979887447/il_fullxfull.3979887447_rudc.jpg,https://i.etsystatic.com/25031074/r/il/1594f7/3932431940/il_fullxfull.3932431940_qg9d.jpg,https://i.etsystatic.com/25031074/r/il/1db187/3932431896/il_fullxfull.3932431896_qvth.jpg,https://i.etsystatic.com/25031074/r/il/593018/3932431826/il_fullxfull.3932431826_9yuo.jpg,https://i.etsystatic.com/25031074/r/il/983413/3979887537/il_fullxfull.3979887537_khtb.jpg	in_stock	new	49.00 AUD	Contraption Cart	no	Hummingbird-pole-pet	automata	0.25 kg		default
illusionist-pendant-puzzle-box	Illusionist Pendant Puzzle Box	Please note this is a kit with the parts and instructions for you to assemble yourself. Please see my other listings if you would like to download the files instead) Years ago I was captivated by a puzzle pendant in the movie "The Illusionist". What looks like an oval box is twisted to unexpectedly form a love heart. The top of the heart is then slid away to reveal a photo or trinket inside. A sentimental little gift for valentines day, anniversary mothers day etc. I enjoy the challenge of trying to design something that can be made from only laser cut parts as it makes it much more accessible to people who want to make their own. I hope you enjoy my laser cut version of the Illusionist Pendant. I cut these part to have tight fits so there is no need for glue, but if it was going to be worn then PVA glue is recommended and perhaps a clear varnish to finish it off. Please note, these won't really withstand the rigorous manipulation of someone who does not know the secret opening method, so best to show people how it is done. (As he does in the movie If I remember correctly)	https://www.contraptioncart.com/shop/illusionist-pendant-puzzle-box	https://i.etsystatic.com/25031074/r/il/e0dae1/7808588727/il_fullxfull.7808588727_2dg6.jpg	https://i.etsystatic.com/25031074/r/il/5ffd3b/7808590727/il_fullxfull.7808590727_c7bd.jpg,https://i.etsystatic.com/25031074/r/il/fc0993/7760645396/il_fullxfull.7760645396_1cxo.jpg,https://i.etsystatic.com/25031074/r/il/793b03/7808593805/il_fullxfull.7808593805_gtkz.jpg,https://i.etsystatic.com/25031074/r/il/19ae2b/7760648444/il_fullxfull.7760648444_m17e.jpg,https://i.etsystatic.com/25031074/r/il/d23496/7808597091/il_fullxfull.7808597091_3h5n.jpg	in_stock	new	30.00 AUD	Contraption Cart	no	Illusionist-Pendant	puzzle boxes	0.25 kg		default
instant-coke	Instant Coke	Make a Coke can appear out of thin air. In fact, any small item you choose can be made to instantly appear inside the empty box. This visual illusion can be performed in plain sight to a widely spread audience without even needing to close the lid. It is a self-working mechanism that can be performed with only a little practice. A performance tutorial video and written instructions are included. Build it yourself from the precut parts or purchase the fully assembled trick ready to go. You will need to find your own regular sized Coke can. Made from laser-cut birch plywood. Buy the kit to assemble yourself, or buy it ready assembled with black interior paint on 3 walls. I now also make a deluxe collector's edition. This comes fully assembled with 3 black painted interior walls, additional exterior ornamental panels and a clear protective coating over the wood.	https://www.contraptioncart.com/shop/instant-coke	https://i.etsystatic.com/25031074/r/il/66038a/8060809750/il_fullxfull.8060809750_ocm1.jpg	https://i.etsystatic.com/25031074/r/il/2f7ecd/7050406362/il_fullxfull.7050406362_rnw3.jpg,https://i.etsystatic.com/25031074/r/il/a1d95c/7050292090/il_fullxfull.7050292090_8sky.jpg,https://i.etsystatic.com/25031074/r/il/c3f28c/7098370331/il_fullxfull.7098370331_hfsv.jpg,https://i.etsystatic.com/25031074/r/il/eb215a/7151648875/il_fullxfull.7151648875_2txh.jpg,https://i.etsystatic.com/25031074/r/il/3f603c/7118182922/il_fullxfull.7118182922_2qd5.jpg,https://i.etsystatic.com/25031074/r/il/01d8fb/7118182928/il_fullxfull.7118182928_lbwk.jpg,https://i.etsystatic.com/25031074/r/il/2ca5db/7166153393/il_fullxfull.7166153393_r78e.jpg,https://i.etsystatic.com/25031074/r/il/4bcb46/8060811652/il_fullxfull.8060811652_2ozd.jpg,https://i.etsystatic.com/25031074/r/il/6501a2/8108732995/il_fullxfull.8108732995_l9r9.jpg	in_stock	new	50.00 AUD	Contraption Cart	no	Coke-Can-Magic-Trick-Box	magic tricks	0.25 kg		default
key-through-coin	Key Through Coin Magic Trick	The wooden coin is placed into a small box. The wooden key is then pushed right through the box and out the other side. The coin is removed and shown to be unharmed. How did the key pass through the coin?	https://www.contraptioncart.com/shop/key-through-coin	https://i.etsystatic.com/25031074/r/il/4361ed/8060793952/il_fullxfull.8060793952_ds5u.jpg	https://i.etsystatic.com/25031074/r/il/4893b5/8060796112/il_fullxfull.8060796112_2zvh.jpg,https://i.etsystatic.com/25031074/r/il/df5bae/8060797888/il_fullxfull.8060797888_b24p.jpg,https://i.etsystatic.com/25031074/r/il/5a87b1/8108712969/il_fullxfull.8108712969_lrv0.jpg,https://i.etsystatic.com/25031074/r/il/c4a416/8108714853/il_fullxfull.8108714853_e7ll.jpg,https://i.etsystatic.com/25031074/r/il/f1be2f/8060804592/il_fullxfull.8060804592_pwmm.jpg	in_stock	new	40.00 AUD	Contraption Cart	no	keyCoin	magic tricks	0.25 kg		default
lankydoodler	Lankydoodler	Turn the knob and Lanky Doodler will sketch out your encoded message. Write your own message like a loved ones name or pick from one of the premade messages: "hello", "love you", "mum", "Dad", "happy Bday", "merryXmas" The sketch is encoded in the rotating cams which control the two arms to accurately position the pencil. Use the online app to generate cams for your own sketch. You can then download the profiles to cut yourself or send me the generated txt file and I will laser cut them for you. If you choose the custom cam option at checkout, then you must send me a message either with an explanation of your message/sketch, or the txt file generated from your sketch in the Lanky Doodler web app at https://www.contraptioncart.com/lankydoodler This item comes as a kit for you to put together in 40 minutes or preassembled with the base taken off for shipping. (Expect one minute to put the base back on) The svg and pdf files for this machine are available in a separate listing if you would like to scroll saw or laser cut all of the parts yourself. Fits a standard pencil or felt pen (for a darker sketch).	https://www.contraptioncart.com/shop/lankydoodler	https://i.etsystatic.com/25031074/r/il/a0833b/7065669237/il_fullxfull.7065669237_72fe.jpg	https://i.etsystatic.com/25031074/r/il/399c2a/7428826811/il_fullxfull.7428826811_61kf.jpg,https://i.etsystatic.com/25031074/r/il/b4ac98/8233333304/il_fullxfull.8233333304_8d31.jpg,https://i.etsystatic.com/25031074/r/il/021b51/7380904322/il_fullxfull.7380904322_swif.jpg,https://i.etsystatic.com/25031074/r/il/3bb6fe/7065669245/il_fullxfull.7065669245_xic2.jpg,https://i.etsystatic.com/25031074/r/il/67264e/7017689444/il_fullxfull.7017689444_p6s9.jpg,https://i.etsystatic.com/25031074/r/il/59fa61/7065669239/il_fullxfull.7065669239_cohu.jpg,https://i.etsystatic.com/25031074/r/il/bd04f7/3919284207/il_fullxfull.3919284207_i7qq.jpg,https://i.etsystatic.com/25031074/r/il/c31249/3877318796/il_fullxfull.3877318796_a0do.jpg,https://i.etsystatic.com/25031074/r/il/d6ee88/3919284137/il_fullxfull.3919284137_k1jt.jpg	in_stock	new	49.00 AUD	Contraption Cart	no	Writing-automaton	automata	0.25 kg		default
magic-drawer	Magic Drawer	Magic Drawer Illusion Box – Vanish or Appear Objects Instantly A beautifully crafted magic drawer illusion box that allows you to make small objects vanish or appear right before your audience’s eyes. Open the drawer — it’s completely empty. Close it. Open it again — now it’s full. Simple. Visual. Powerful. ✨ Easy to Perform – Instantly Repeatable This illusion is designed to be: Easy to perform (no sleight of hand required) Self-working mechanics Instantly repeatable Perfect for beginners and experienced magicians alike Ideal for close-up magic, parlour performances, social media videos, or as a unique desk curiosity. 🪵 Precision Laser Cut Birch Plywood Made from high-quality birch plywood Precision laser cut for clean, accurate parts Etched with a striking three-arm herringbone pattern Durable, lightweight, and built for repeated use The geometric etched design gives it a modern yet mysterious aesthetic that looks beautiful on display. 🔧 DIY Kit or Fully Assembled Choose your option: DIY Kit – All parts precision cut and ready to assemble Fully Assembled – Ready to perform out of the box The kit can be assembled in under one hour. Parts are designed to fit cleanly; glue may be used for added durability. 🎁 Perfect For Magic enthusiasts Beginner magicians Escape room props Unique gifts Puzzle and illusion collectors Creative desk toys Create moments of astonishment. Make objects vanish. Make them appear. Repeat. Ships carefully packaged from Australia.	https://www.contraptioncart.com/shop/magic-drawer	https://i.etsystatic.com/25031074/r/il/8edb68/7748820039/il_fullxfull.7748820039_pfre.jpg	https://i.etsystatic.com/25031074/r/il/0783f4/7748827809/il_fullxfull.7748827809_ji45.jpg,https://i.etsystatic.com/25031074/r/il/7e41ca/7700885754/il_fullxfull.7700885754_1blz.jpg,https://i.etsystatic.com/25031074/r/il/e03ad5/7700886978/il_fullxfull.7700886978_ab9v.jpg,https://i.etsystatic.com/25031074/r/il/64f625/7748823563/il_fullxfull.7748823563_euub.jpg,https://i.etsystatic.com/25031074/r/il/fe13ca/7700882158/il_fullxfull.7700882158_jck0.jpg	in_stock	new	50.00 AUD	Contraption Cart	no	Magic-Drawer	magic tricks	0.25 kg		default
magic-empty-box	Magic Empty Box	This box allows you to perform a magic trick. The magician flips open 2 doors, allowing the audience to look right through the empty box. The magician shuts the doors and then tips the box over and magically pours out a large pile of colorful sweets onto the table. You could alternatively pull a handkerchief out from the top of the box or reveal any small enough item of your choice. You could also use the box to make items disappear. This secret gimmick will be revealed when you view the pdf instructions.	https://www.contraptioncart.com/shop/magic-empty-box	https://i.etsystatic.com/25031074/r/il/c46a06/8213406109/il_fullxfull.8213406109_6zjj.jpg	https://i.etsystatic.com/25031074/r/il/c58d36/8165474286/il_fullxfull.8165474286_2vhi.jpg,https://i.etsystatic.com/25031074/r/il/f5abd1/8213406115/il_fullxfull.8213406115_5u8w.jpg,https://i.etsystatic.com/25031074/r/il/811e3d/8213406127/il_fullxfull.8213406127_74fi.jpg,https://i.etsystatic.com/25031074/r/il/a60fbe/8213406125/il_fullxfull.8213406125_2p53.jpg	in_stock	new	45.00 AUD	Contraption Cart	no	Magic-Empty-Box	magic tricks	0.25 kg		default
magic-frame	Magic Frame	This Magic Frame can instantly transform images and text. Use the included images or open the web app to create and print your own from a standard office inkjet printer. The downloadable plans for this trick are available for purchase in a separate listing in my Etsy store. The magic gimmick is available fully assembled or as a kit for you to assemble yourself. This device is completely mechanical. It is not electrical. It is not a digital tablet.	https://www.contraptioncart.com/shop/magic-frame	https://i.etsystatic.com/25031074/r/il/ed679c/6874432458/il_fullxfull.6874432458_ivk5.jpg	https://i.etsystatic.com/25031074/r/il/3f3632/6874432460/il_fullxfull.6874432460_gw2e.jpg,https://i.etsystatic.com/25031074/r/il/aee38d/6874432438/il_fullxfull.6874432438_1sl5.jpg,https://i.etsystatic.com/25031074/r/il/9c07be/6874432456/il_fullxfull.6874432456_3g6f.jpg,https://i.etsystatic.com/25031074/r/il/9ae8a7/6922409685/il_fullxfull.6922409685_tppj.jpg,https://i.etsystatic.com/25031074/r/il/f7b025/6897097622/il_fullxfull.6897097622_dhan.jpg	in_stock	new	40.00 AUD	Contraption Cart	no	Magic-Frame	magic tricks	0.25 kg		default
marble-tree	Marble Tree	Place marbles at the top and enjoy listening to them musically tinkle as they cascade down the petals. We used to sell these in our marble shop. Kids and adults allways loved playing with them but they were quite awkward to take away. So I designed them to come as a flat pack with instructions for you to assemble. Assembled Size: 20cm x 20cm x 28cm	https://www.contraptioncart.com/shop/marble-tree	https://i.etsystatic.com/25031074/r/il/61864a/3653840239/il_fullxfull.3653840239_jtlh.jpg	https://i.etsystatic.com/25031074/r/il/c7a337/3653754527/il_fullxfull.3653754527_fbeq.jpg,https://i.etsystatic.com/25031074/r/il/770bfb/3606139580/il_fullxfull.3606139580_tf0z.jpg,https://i.etsystatic.com/25031074/r/il/8a48bc/3653754355/il_fullxfull.3653754355_i677.jpg	in_stock	new	38.00 AUD	Contraption Cart	no	Marble-Tree	toys and games	0.25 kg		default
mechanical-calculator	Mechanical Calculator	This is a working Mechanical Calculator using wooden gears. It is available fully assembled or as a kit with all of the parts pre-cut and ready to assemble yourself. (Please see my other listings for these laser cut files to download.) The design is based on the mechanical calculators that were used before the invention of electronic computers. The machine performs arithmetic using gears. You can add and subtract up to 4 significant figures. You can even use it to do multiplication and division. A great learning tool to demonstrate place value and the carry operation in arithmetic. It can be made in under 1 hour. Recommended ages 8 and up. Follow me on instagram to keep updated on my latest projects. @contraptioncart	https://www.contraptioncart.com/shop/mechanical-calculator	https://i.etsystatic.com/25031074/r/il/49b9ec/7764225703/il_fullxfull.7764225703_iat4.jpg	https://i.etsystatic.com/25031074/r/il/8bcbb8/7716311712/il_fullxfull.7716311712_7nth.jpg,https://i.etsystatic.com/25031074/r/il/b74ba2/7716311710/il_fullxfull.7716311710_hv8t.jpg,https://i.etsystatic.com/25031074/r/il/874043/7295300476/il_fullxfull.7295300476_s13q.jpg,https://i.etsystatic.com/25031074/r/il/cc2b51/7343250081/il_fullxfull.7343250081_e9fq.jpg,https://i.etsystatic.com/25031074/r/il/1ab34b/7343249981/il_fullxfull.7343249981_i215.jpg,https://i.etsystatic.com/25031074/r/il/e3b5f2/7295300502/il_fullxfull.7295300502_jt9c.jpg,https://i.etsystatic.com/25031074/r/il/4e6580/7295300298/il_fullxfull.7295300298_mjcx.jpg	in_stock	new	50.00 AUD	Contraption Cart	no	Mechanical-Calculator	toys and games	0.25 kg		default
